week_start,category,weekly_gmv_brl
2017-02-27,kitchen_dining_laundry_garden_furniture,46.989999999999995
2017-02-27,luggage_accessories,591.5000000000001
2017-02-27,market_place,951.0500000000002
2017-02-27,musical_instruments,628.17
2017-02-27,office_furniture,1546.5
2017-02-27,perfumery,2419.94
2017-02-27,pet_shop,1559.1000000000001
2017-02-27,small_appliances,4699.700000000001
2017-02-27,sports_leisure,11017.519999999999
2017-02-27,stationery,1010.22
2017-02-27,tablets_printing_image,110.3
2017-02-27,telephony,942.3499999999999
2017-02-27,toys,2957.2399999999993
2017-02-27,unknown,1765.69
2017-02-27,watches_gifts,5555.2699999999995
2017-03-06,air_conditioning,2420.77
2017-03-06,audio,811.6799999999998
2017-03-06,auto,4256.1
2017-03-06,baby,878.67
2017-03-06,bed_bath_table,8145.450000000002
2017-03-06,books_general_interest,588.89
2017-03-06,books_technical,47.78
2017-03-06,computers_accessories,8487.199999999999
2017-03-06,consoles_games,2788.04
2017-03-06,construction_tools_safety,208.17000000000002
2017-03-06,cool_stuff,5137.76
2017-03-06,dvds_blu_ray,65.36
2017-03-06,electronics,728.7900000000001
2017-03-06,fashion_bags_accessories,666.72
2017-03-06,fashion_male_clothing,29.42
2017-03-06,fashion_shoes,399.75
2017-03-06,fashion_underwear_beach,161.34
2017-03-06,fixed_telephony,191.59000000000003
2017-03-06,food,847.8299999999999
2017-03-06,food_drink,34.42
2017-03-06,furniture_decor,5872.850000000003
2017-03-06,furniture_living_room,512.71
2017-03-06,garden_tools,3709.8600000000006
2017-03-06,health_beauty,6543.380000000001
2017-03-06,home_appliances,41.519999999999996
2017-03-06,home_confort,196.79000000000002
2017-03-06,home_construction,154.26000000000002
2017-03-06,housewares,3336.900000000002
2017-03-06,kitchen_dining_laundry_garden_furniture,66.94
2017-03-06,luggage_accessories,1123.4599999999998
2017-03-06,market_place,1050.3500000000001
2017-03-06,music,42.51
2017-03-06,musical_instruments,478.59999999999997
2017-03-06,office_furniture,5765.370000000001
2017-03-06,perfumery,4320.12
2017-03-06,pet_shop,221.07
2017-03-06,small_appliances,1471.6
2017-03-06,sports_leisure,4151.0199999999995
2017-03-06,stationery,1776.63
2017-03-06,telephony,1649.2400000000002
2017-03-06,toys,3710.2400000000002
2017-03-06,unknown,2780.2599999999998
2017-03-06,watches_gifts,3213.19
2017-03-13,agro_industry_and_commerce,74.17
2017-03-13,air_conditioning,671.8599999999999
2017-03-13,art,47.05
2017-03-13,audio,270.36
2017-03-13,auto,2798.0900000000006
2017-03-13,baby,1599.8300000000002
2017-03-13,bed_bath_table,6073.2300000000005
2017-03-13,books_general_interest,1099.1799999999998
2017-03-13,books_technical,55.96
2017-03-13,computers_accessories,3149.379999999999
2017-03-13,consoles_games,3927.94
2017-03-13,construction_tools_safety,217.59
2017-03-13,cool_stuff,5474.39
2017-03-13,drinks,319.81
2017-03-13,electronics,1384.27
2017-03-13,fashio_female_clothing,30.86
2017-03-13,fashion_bags_accessories,1477.6000000000001
2017-03-13,fashion_male_clothing,216.51
2017-03-13,fashion_shoes,261.88
2017-03-13,fashion_underwear_beach,113.45
2017-03-13,fixed_telephony,74.59
2017-03-13,food,1312.53
2017-03-13,food_drink,65.65
2017-03-13,furniture_decor,6564.709999999996
2017-03-13,furniture_living_room,1144.8700000000001
2017-03-13,garden_tools,8916.930000000002
2017-03-13,health_beauty,8739.770000000002
2017-03-13,home_appliances,186.0
2017-03-13,home_appliances_2,535.9
2017-03-13,home_comfort_2,23.86
2017-03-13,home_confort,102.18
2017-03-13,home_construction,257.07
2017-03-13,housewares,5026.720000000001
2017-03-13,luggage_accessories,1423.83
2017-03-13,market_place,149.60000000000002
2017-03-13,musical_instruments,402.43
2017-03-13,office_furniture,4504.200000000001
2017-03-13,perfumery,7093.130000000004
2017-03-13,pet_shop,3735.899999999999
2017-03-13,small_appliances,4612.4400000000005
2017-03-13,sports_leisure,6291.3899999999985
2017-03-13,stationery,1985.99
2017-03-13,tablets_printing_image,124.18
2017-03-13,telephony,1322.4399999999998
2017-03-13,toys,2747.6400000000003
2017-03-13,unknown,324.96
2017-03-13,watches_gifts,11526.630000000001
2017-03-20,agro_industry_and_commerce,36.519999999999996
2017-03-20,air_conditioning,226.59
2017-03-20,art,246.2
2017-03-20,audio,45.95
2017-03-20,auto,3914.7800000000007
2017-03-20,baby,784.89
2017-03-20,bed_bath_table,7570.22
2017-03-20,books_general_interest,250.42
2017-03-20,computers_accessories,9715.940000000002
2017-03-20,consoles_games,2015.39
2017-03-20,cool_stuff,5465.919999999999
2017-03-20,drinks,61.1
2017-03-20,dvds_blu_ray,32.68
2017-03-20,electronics,1021.49
2017-03-20,fashion_bags_accessories,1405.6
2017-03-20,fashion_male_clothing,273.94000000000005
2017-03-20,fashion_shoes,639.8299999999999
2017-03-20,fixed_telephony,124.30999999999999
2017-03-20,food,230.92
2017-03-20,food_drink,32.86
2017-03-20,furniture_decor,6212.760000000003
2017-03-20,furniture_living_room,1665.5900000000001
2017-03-20,garden_tools,5164.89
2017-03-20,health_beauty,7305.950000000003
2017-03-20,home_appliances,98.43
2017-03-20,home_confort,842.9200000000001
2017-03-20,home_construction,307.36
2017-03-20,housewares,4593.630000000001
2017-03-20,kitchen_dining_laundry_garden_furniture,102.11000000000001
2017-03-20,luggage_accessories,2728.59
2017-03-20,market_place,291.0
2017-03-20,musical_instruments,32.51
2017-03-20,office_furniture,2431.07
2017-03-20,perfumery,5617.700000000001
2017-03-20,pet_shop,3299.4800000000005
2017-03-20,small_appliances,2238.7299999999996
2017-03-20,sports_leisure,6846.839999999999
2017-03-20,stationery,648.8
2017-03-20,tablets_printing_image,113.86
2017-03-20,telephony,3900.8599999999997
2017-03-20,toys,3272.319999999999
2017-03-20,unknown,1510.2699999999998
2017-03-20,watches_gifts,4569.030000000001
2017-03-27,air_conditioning,305.38
2017-03-27,audio,239.41
2017-03-27,auto,6049.6799999999985
2017-03-27,baby,723.49
2017-03-27,bed_bath_table,7373.789999999999
2017-03-27,books_general_interest,433.04
2017-03-27,computers_accessories,7423.169999999999
2017-03-27,consoles_games,783.9099999999999
2017-03-27,cool_stuff,5884.93
2017-03-27,dvds_blu_ray,427.16
2017-03-27,electronics,1166.02
2017-03-27,fashion_bags_accessories,1730.2799999999997
2017-03-27,fashion_male_clothing,119.30000000000001
2017-03-27,fashion_shoes,316.86
2017-03-27,fashion_sport,60.86
2017-03-27,fashion_underwear_beach,185.83
2017-03-27,fixed_telephony,732.6700000000001
2017-03-27,food,661.36
2017-03-27,furniture_decor,4238.759999999999
2017-03-27,furniture_living_room,994.28
2017-03-27,garden_tools,5580.23
2017-03-27,health_beauty,5247.669999999999
2017-03-27,home_comfort_2,367.03
2017-03-27,home_confort,1293.3200000000002
2017-03-27,housewares,2080.76
2017-03-27,luggage_accessories,1792.03
2017-03-27,market_place,30.86
2017-03-27,musical_instruments,760.01
2017-03-27,office_furniture,2660.5800000000004
2017-03-27,perfumery,4390.36
2017-03-27,pet_shop,915.47
2017-03-27,signaling_and_security,91.23
2017-03-27,small_appliances,9181.69
2017-03-27,sports_leisure,4618.29
2017-03-27,stationery,1946.4199999999998
2017-03-27,tablets_printing_image,534.75
2017-03-27,telephony,3527.2500000000005
2017-03-27,toys,3457.62
2017-03-27,unknown,2365.9700000000003
2017-03-27,watches_gifts,6715.04
2017-04-03,air_conditioning,378.79
2017-04-03,audio,193.25
2017-04-03,auto,3399.0200000000004
2017-04-03,baby,709.04
2017-04-03,bed_bath_table,7006.769999999999
2017-04-03,books_general_interest,129.98
2017-04-03,books_technical,86.92
2017-04-03,cine_photo,78.71000000000001
2017-04-03,computers_accessories,6510.740000000001
2017-04-03,consoles_games,2644.6400000000003
2017-04-03,cool_stuff,4839.2699999999995
2017-04-03,costruction_tools_garden,21.87
2017-04-03,drinks,204.23999999999998
2017-04-03,dvds_blu_ray,1435.58
2017-04-03,electronics,936.4200000000001
2017-04-03,fashion_bags_accessories,722.9200000000001
2017-04-03,fashion_male_clothing,160.32
2017-04-03,fashion_shoes,271.96
2017-04-03,fashion_underwear_beach,142.81
2017-04-03,fixed_telephony,2951.3700000000003
2017-04-03,food,289.29999999999995
2017-04-03,furniture_decor,5962.810000000001
2017-04-03,furniture_living_room,264.61
2017-04-03,garden_tools,8603.000000000002
2017-04-03,health_beauty,4141.9
2017-04-03,home_appliances,83.14
2017-04-03,home_comfort_2,23.86
2017-04-03,home_confort,388.16999999999996
2017-04-03,home_construction,141.07999999999998
2017-04-03,housewares,3270.4500000000007
2017-04-03,kitchen_dining_laundry_garden_furniture,373.13
2017-04-03,la_cuisine,34.81
2017-04-03,luggage_accessories,1851.6
2017-04-03,market_place,2494.28
2017-04-03,musical_instruments,765.78
2017-04-03,office_furniture,2891.1600000000003
2017-04-03,perfumery,8524.77
2017-04-03,pet_shop,1841.1100000000001
2017-04-03,signaling_and_security,140.14
2017-04-03,small_appliances,3986.9100000000003
2017-04-03,sports_leisure,7230.299999999998
2017-04-03,stationery,648.8299999999999
2017-04-03,tablets_printing_image,149.56
2017-04-03,telephony,2657.0600000000004
2017-04-03,toys,3582.19
2017-04-03,unknown,3928.0899999999997
2017-04-03,watches_gifts,8211.410000000002
2017-04-10,air_conditioning,1476.71
2017-04-10,audio,202.28
2017-04-10,auto,4510.86
2017-04-10,baby,753.1500000000001
2017-04-10,bed_bath_table,3262.4199999999987
2017-04-10,books_general_interest,174.84999999999997
2017-04-10,computers_accessories,4237.45
2017-04-10,consoles_games,82.02
2017-04-10,cool_stuff,5621.860000000002
2017-04-10,costruction_tools_garden,74.49
