seller_id,seller_gmv_brl,seller_orders,avg_delivery_days,avg_review_score
96493fab2fbb13a14d0c0e8772eef5c3,20181.23,63,13.39,4.03
d650b663c3b5f6fb392b6326366efa9a,20153.04,60,9.84,4.2
2a5b78b41cd05baeac8df54c6606b92c,20132.83,49,9.34,4.08
1e8b33f18b4f7598d87f5cbee2282cc2,20011.3,123,7.79,4.28
527801b552d0077ffd170872eb49683b,20005.36,90,13.01,4.48
c33847515fa6305ce6feb1e818569f13,19894.26,114,9.56,3.72
4b9750c8ad28220fe6702d4ecb7c898f,19305.1,218,9.41,4.35
9de4643a8dbde634fe55621059d92273,19282.41,72,15.0,4.53
2a84855fd20af891be03bc5924d2b453,19270.61,164,8.54,4.24
79ebd9a61bac3eaf882805ed4ecfa12a,19105.14,136,15.33,4.0
165fc07beebdcb6190fba8a06db2a449,19081.43,50,13.49,3.69
4c2b230173bb36f9b240f2b8ac11786e,18989.84,261,12.8,3.76
a888faf2d1baececa6baf9c3d603ee1f,18887.32,54,17.91,4.05
213b25e6f54661939f11710a6fddb871,18839.96,155,15.23,3.79
c72de06d72748d1a0dfb2125be43ba63,18733.18,21,9.71,4.45
94144541854e298c2d976cb893b81343,18715.65,68,12.35,4.33
ef0ace09169ac090589d85746e3e036f,18538.95,129,12.56,4.34
4a3ccda38b2129705f3fb522db62ca31,18494.93,66,13.36,3.72
0adac9fbd9a2b63cccaac4f8756c1ca8,18460.22,110,12.78,3.89
2138ccb85b11a4ec1e37afbd1c8eda1f,18426.25,396,11.26,3.9
abe42c5d03695b4257b5c6cbf4e6784e,18158.23,50,14.36,3.92
229c3efbfb0ea2058de4ccdfbc3d784a,18106.57,121,10.84,3.64
1b4c3a6f53068f0b6944d2d005c9fc89,17791.67,113,14.34,4.1
8ae520247981aa06bc94abddf5f46d34,17766.34,65,10.98,4.45
01fdefa7697d26ad920e9e0346d4bd1b,17690.07,129,10.75,4.35
66922902710d126a0e7d26b0e3805106,17581.07,151,11.39,4.45
d921b68bf747894be13a97ae52b0f386,17403.81,77,9.98,4.56
5cf13accae3222c70a9cac40818ae839,17402.47,149,10.63,4.44
ce248b21cb2adc36282ede306b7660e5,17296.95,65,15.6,4.2
e5a38146df062edaf55c38afa99e42dc,17254.59,121,12.23,3.94
d94a40fd42351c259927028d163af842,17220.94,101,13.69,4.1
6d66611d7c44cc30ce351abc49a68421,16854.37,166,12.12,3.91
2e90cb1677d35cfe24eef47d441b7c87,16782.16,127,12.1,4.04
669ae81880e08f269a64487cfb287169,16621.46,162,11.99,4.14
f9244d45189d3a3605499abddeade7d5,16607.42,21,15.18,4.29
1f1bb1f0859883505541bdd6606193e5,16562.87,27,14.17,4.31
3b15288545f8928d3e65a8f949a28291,16513.69,104,14.33,3.89
