customer_state,customer_city,category,orders,gmv_brl
SP,ribeirao preto,health_beauty,43,7373.83
MG,uberlandia,health_beauty,39,7371.58
SP,sao paulo,furniture_bedroom,26,7363.35
RJ,niteroi,housewares,69,7360.17
MG,belo horizonte,stationery,65,7341.16
SP,jundiai,watches_gifts,28,7325.41
SP,sorocaba,computers_accessories,47,7287.38
SP,sorocaba,bed_bath_table,64,7281.34
MG,uberlandia,sports_leisure,36,7199.87
PR,londrina,watches_gifts,25,7149.33
RS,porto alegre,toys,45,7110.42
SP,sao jose do rio preto,watches_gifts,20,7095.88
CE,fortaleza,sports_leisure,52,7082.56
SP,sorocaba,furniture_decor,52,7033.27
RJ,nova iguacu,furniture_decor,34,7024.99
SP,jundiai,cool_stuff,20,6938.02
CE,fortaleza,computers_accessories,42,6934.88
PA,belem,sports_leisure,30,6930.24
MS,campo grande,computers_accessories,30,6915.21
SP,sao jose dos campos,computers_accessories,57,6901.16
SP,osasco,watches_gifts,36,6837.32
SP,santo andre,computers_accessories,47,6781.48
SP,santo andre,sports_leisure,60,6779.26
AL,maceio,health_beauty,32,6655.24
SP,bauru,sports_leisure,30,6646.65
RJ,nova iguacu,garden_tools,29,6613.32
CE,fortaleza,auto,24,6612.69
SP,barueri,bed_bath_table,45,6599.78
RJ,rio de janeiro,kitchen_dining_laundry_garden_furniture,28,6570.21
PB,joao pessoa,computers_accessories,24,6567.98
RJ,nova iguacu,bed_bath_table,50,6554.48
SP,sao bernardo do campo,computers_accessories,54,6540.21
SC,florianopolis,sports_leisure,46,6536.55
RS,porto alegre,perfumery,36,6512.87
SP,santo andre,furniture_decor,58,6512.72
SP,sao paulo,industry_commerce_and_business,30,6407.83
PA,belem,furniture_decor,29,6404.34
BA,salvador,cool_stuff,36,6375.33
PE,recife,furniture_decor,33,6337.58
GO,goiania,sports_leisure,47,6328.2
MG,belo horizonte,unknown,74,6321.57
RN,natal,watches_gifts,27,6294.07
SP,jundiai,baby,17,6268.77
SP,jundiai,furniture_decor,43,6263.1
PA,belem,baby,20,6220.34
MS,campo grande,sports_leisure,28,6212.38
RJ,sao goncalo,garden_tools,31,6169.68
SP,osasco,auto,31,6125.3
SP,jundiai,health_beauty,45,6121.59
BA,salvador,toys,35,6120.53
SE,aracaju,health_beauty,28,6112.47
SP,praia grande,bed_bath_table,42,6083.03
SP,santos,sports_leisure,51,6056.02
ES,vitoria,bed_bath_table,44,6031.1
RJ,niteroi,perfumery,37,6029.03
DF,brasilia,pet_shop,35,6019.0
SP,ribeirao preto,computers_accessories,42,6000.49
SC,florianopolis,bed_bath_table,49,5979.11
SP,campinas,baby,41,5976.95
SP,campinas,garden_tools,52,5968.69
BA,salvador,baby,30,5954.58
MG,belo horizonte,consoles_games,26,5895.02
SP,mogi das cruzes,watches_gifts,31,5883.18
CE,fortaleza,furniture_decor,40,5879.48
PE,jaboatao dos guararapes,health_beauty,27,5878.79
MG,uberaba,health_beauty,15,5857.35
GO,goiania,auto,21,5805.87
RJ,rio de janeiro,audio,29,5793.65
DF,brasilia,stationery,45,5752.21
CE,fortaleza,cool_stuff,23,5709.92
MG,contagem,sports_leisure,46,5706.64
PI,teresina,health_beauty,29,5701.33
SP,jundiai,computers_accessories,33,5639.6
RJ,rio de janeiro,agro_industry_and_commerce,17,5617.71
SP,piracicaba,bed_bath_table,41,5591.69
SP,santos,computers_accessories,42,5586.23
ES,vila velha,watches_gifts,25,5581.55
RJ,duque de caxias,watches_gifts,21,5578.4
SP,campinas,perfumery,46,5561.37
MG,juiz de fora,bed_bath_table,36,5558.27
SC,florianopolis,cool_stuff,14,5521.52
SC,joinville,health_beauty,29,5506.3
SP,sao bernardo do campo,auto,38,5491.85
SP,taubate,health_beauty,36,5473.09
SP,sao jose do rio preto,bed_bath_table,39,5461.89
RJ,rio de janeiro,drinks,30,5458.23
SP,santo andre,housewares,51,5455.11
SP,piracicaba,furniture_decor,24,5446.93
SP,sao bernardo do campo,toys,38,5424.19
